"mat1","cod1","mat2","cod2","nom_periodo","cantidad"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALCULO VECTORIAL","1063","202301","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALCULO VECTORIAL","1063","202401","7"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALIDAD DE AGUAS","1854","202001","4"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALIDAD DE AGUAS","1854","202101","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALIDAD DE AGUAS","1854","202201","7"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALIDAD DE AGUAS","1854","202301","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CALIDAD DE AGUAS","1854","202401","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CAMINOS Y CALLES 1","2231","202001","4"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CAMINOS Y CALLES 1","2231","202101","5"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CAMINOS Y CALLES 1","2231","202201","8"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CAMINOS Y CALLES 1","2231","202301","5"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CAMINOS Y CALLES 1","2231","202401","5"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CAPTURA DE DATOS POR PERCEPCION REMOTA","TCI24","202101","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CAPTURA DE DATOS POR PERCEPCION REMOTA","TCI24","202201","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CIUDADANIA EN ENTORNOS DIGITALES","1271","202301","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CODIGOS PARA CORRECCION DE ERRORES","2415","202201","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","CODIGOS PARA CORRECCION DE ERRORES","2415","202401","2"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMPORTAMIENTO MECANICO DE MATERIALES 1","1764","202001","22"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMPORTAMIENTO MECANICO DE MATERIALES 1","1764","202101","31"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMPORTAMIENTO MECANICO DE MATERIALES 1","1764","202201","25"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMPORTAMIENTO MECANICO DE MATERIALES 1","1764","202301","15"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMPORTAMIENTO MECANICO DE MATERIALES 1","1764","202401","23"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMPUTACION DE ALTA PERFORMANCE","1434","202001","1"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMPUTACION DE ALTA PERFORMANCE","1434","202401","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMPUT.DE PR.GRAL.EN UNID.DE PROC.GRAF.","1447","202001","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMPUT.DE PR.GRAL.EN UNID.DE PROC.GRAF.","1447","202101","3"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMPUT.DE PR.GRAL.EN UNID.DE PROC.GRAF.","1447","202201","5"
"ADMINISTRACION GENERAL PARA INGENIEROS","1944","COMPUT.DE PR.GRAL.EN UNID.DE PROC.GRAF.","1447","202301","1"
