uc_1,uc_2,coincidencia
1063,Q73,1.0
1063,Q77C,1.0
1063,TCI26,1.0
1063,TCI28,2.0
1063,TI08,1.0
1063,TI20,1.0
1063,TIM10,1.0
1063,TIM11,1.0
1063,TIM14,1.0
1063,TIM50,1.0
1063,TIM60,1.0
1063,TIM81,1.0
1063,TTR13,1.0
1064,1023,8.0
1064,1025,44.5
1064,1026,3.75
1064,1033,33.25
1064,1122,37.5
1064,1144,7.75
1064,1201,1.0
1064,1214,1.0
1064,1220,12.5
1064,1225,1.3333333333333333
1064,1236,1.0
1064,1266,5.5
1064,1267,1.0
1064,1269,4.0
1064,1312,7.0
1064,1321,7.0
1064,1322,31.0
1064,1323,9.25
1064,1327,3.0
1064,1350,1.0
1064,1373,19.0
1064,1446,1.0
1064,1456,50.5
1064,1459,1.0
1064,1460,1.0
1064,1509,1.0
1064,1521,1.5
1064,1526,1.0
1064,1537,1.0
1064,1543,4.0
1064,1617,1.0
1064,1624,3.0
1064,1633,3.0
1064,1638,1.0
1064,1640,1.0
1064,1719,5.25
1064,1721,1.0
1064,1731,1.0
1064,1751,1.0
1064,1779,4.0
1064,1823,3.75
1064,1828,2.0
1064,1868,12.0
1064,1927,4.0
1064,1933,1.0
1064,1945,4.75
1064,1946,2.6666666666666665
1064,2001,13.25
1064,2002,2.0
1064,2011,1.0
1064,2018,1.0
1064,2019,1.0
1064,2022,1.0
1064,2030,1.0
1064,2032,2.0
1064,2033,6.25
1064,2035,3.0
1064,2037,10.75
1064,2038,8.25
1064,2098,1.0
1064,2200,1.5
1064,2216,1.5
1064,2217,5.0
1064,2218,2.0
1064,2242,2.0
1064,2246,5.0
1064,2321,2.0
1064,2352,5.5
1064,2356,2.0
1064,2368,27.75
1064,2379,1.3333333333333333
1064,2380,1.5
1064,2391,1.0
1064,2396,1.0
1064,2400,1.0
1064,2406,1.0
1064,2407,1.0
1064,2450,2.6666666666666665
1064,2506,2.0
1064,2507,1.6666666666666667
1064,2508,2.0
1064,2510,3.0
1064,2511,2.5
1064,2603,1.0
1064,2804,1.0
1064,2805,1.0
1064,5511,1.0
1064,5602,1.0
1064,5824,5.0
1064,5857,2.5
1064,5862,2.0
1064,LIB10,2.0
1064,PA559,1.0
1064,Q57,1.0
1064,Q73,2.5
1064,Q74,2.5
1064,TI08,1.0
1064,TI20,1.0
1122,1025,19.5
1122,1033,16.0
1122,1266,3.0
1122,1269,1.0
1122,1323,2.0
1122,1373,5.5
1122,1456,10.5
1122,1459,2.0
1122,1460,3.0
1122,1521,1.0
1122,1538,1.0
1122,1617,1.0
1122,1633,2.0
1122,1719,5.5
1122,1868,1.0
1122,1927,3.0
1122,1945,5.5
1122,1946,2.0
1122,2001,11.0
1122,2011,3.0
1122,2030,1.0
1122,2032,4.0
1122,2033,5.5
1122,2035,3.0
1122,2037,7.0
1122,2038,7.5
1122,2098,1.0
1122,2211,2.0
1122,2391,1.0
1122,5520,1.0
1122,5604,1.0
1122,5824,4.5
1122,5905,1.5
1122,LIB10,1.0
1122,TIM13,1.0
1122,TTR13,1.0
1123,1023,3.5
1123,1025,14.0
1123,1026,1.0
1123,1030,1.3333333333333333
1123,1031,3.5
1123,1033,18.25
1123,1064,62.75
1123,1122,30.0
1123,1144,4.75
1123,1220,8.5
1123,1226,1.0
1123,1266,6.5
1123,1268,1.0
1123,1269,3.0
1123,1312,2.0
1123,1321,2.0
1123,1322,17.0
1123,1373,12.5
1123,1456,2.0
1123,1460,2.0
1123,1633,4.0
1123,1715,2.3333333333333335
1123,1719,6.75
1123,1779,1.0
1123,1833,3.0
1123,1868,2.0
1123,1869,1.0
1123,1927,2.5
1123,1945,4.25
1123,1946,1.0
1123,1951,3.0
1123,2001,14.25
1123,2011,1.0
1123,2032,1.5
1123,2033,22.75
1123,2035,3.5
1123,2037,4.0
1123,2038,5.5
1123,2206,2.3333333333333335
1123,2211,2.0
1123,2242,2.0
1123,2246,1.0
1123,2315,3.5
1123,2352,2.0
1123,2356,1.0
1123,2368,2.75
1123,2391,2.0
1123,2395,1.0
1123,2400,1.0
1123,2407,1.0
1123,2413,1.0
1123,2416,5.666666666666667
1123,2450,1.0
1123,2506,1.0
1123,2507,1.5
1123,2508,1.0
1123,2510,1.0
1123,2511,1.0
1123,2603,1.5
1123,5507,1.0
