"codenservicio_mat","nombre_mat","fecha_inicio","cantidad"
"Q624","GESTION DE LOS PROCES.  EN LA INDUSTRIA","2020-03-02","70"
"Q65","GESTION DE LABORATORIOS","2020-03-02","1"
"Q68","TRANSFERENCIA DE CALOR Y MASA 2","2020-03-02","106"
"Q69","INGENIERIA DE LAS REACCIONES QUIMICAS 1","2020-03-02","102"
"Q71","TECNOLOGIA Y SERV. INDUSTRIALES 1","2020-03-02","75"
"Q80","PROYECTO INDUSTRIAL 1","2020-03-02","91"
"Q81","INGENIERIA BIOQUIMICA","2020-03-02","92"
"Q82","PASANTIA-TRABAJO EXPERIM. MOD.1 BASICO","2020-03-02","30"
"Q94","DINAMICA Y CONTROL DE PROCESOS","2020-03-02","73"
"TCI11","INT. A LA GEODESIA Y SIST. DE POS. GLOBAL","2020-03-02","19"
"TCI13","CARTOGRAFIA MATEMATICA","2020-03-02","14"
"TCI20","TALLER DE CARTOGRAFIA","2020-03-02","12"
"TCI21","PASANTIA","2020-03-02","6"
"TCI22","LEGISLACION TERRITORIAL","2020-03-02","4"
"TCI24","CAPTURA DE DATOS POR PERCEPCION REMOTA","2020-03-02","24"
"TCI26","PROYECTO","2020-03-02","2"
"TCI29","TALLER DE CARTAS GEOGRAFICAS","2020-03-02","8"
"TI01","PRINCIPIOS DE PROGRAMACION","2020-03-02","7"
"TI02","MATEMATICA DISCRETA Y LOGICA 1","2020-03-02","12"
"TI03","MATEMATICA","2020-03-02","14"
"TI04","INGLES TECNICO 1 (ACT.COMPL.1)","2020-03-02","8"
"TI05","ARQUITECTURA DE COMPUTADORAS","2020-03-02","7"
"TI11","REDES DE COMPUTADORAS","2020-03-02","35"
"TI12","PROGRAMACION AVANZADA","2020-03-02","52"
"TI13","BASES DE DATOS II","2020-03-02","37"
"TI14","CONTABILIDAD (ACT.COMPL.4)","2020-03-02","36"
"TI15","COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)","2020-03-02","41"
"TI21","PASANTIA LABORAL","2020-03-02","18"
"TI22","DESARR.DE APLIC.BASAD.EN TECNOL.GENEXUS","2020-03-02","33"
"TI24","TALLER DE SISTEMAS DE INFORMAC.JAVA EE","2020-03-02","36"
"TI25","TALLER DE APLICACIONES DE INTERNET RICAS","2020-03-02","40"
"TI27","PROYECTO","2020-03-02","13"
"TI29","TALLER DE SIST.DE INF.GEOGRAFICA","2020-03-02","22"
"TI42","FUNDAMENTOS DE LA ROBÓTICA AUTÓNOMA","2020-03-02","5"
"TI43","INT. AL TESTING FUNCIONAL","2020-03-02","42"
"TIM10","TALLER 1: AJUSTE Y MONTAJE","2020-03-02","25"
"TIM11","TALLER 2: METROLOGÍA","2020-03-02","25"
"TIM12","TALLER 3: MAQUINAS HERRAMIENTAS","2020-03-02","20"
"TIM13","TALLER 4: MOTORES DE COMBUSTION INTERNA","2020-03-02","20"
"TIM14","TALLER 5: SOLDADURA","2020-03-02","29"
"TIM20","MATEMATICA 1","2020-03-02","37"
"TIM22","MATEMATICA 3","2020-03-02","44"
"TIM31","FISICA 2","2020-03-02","56"
"TIM41","TRANSFERENCIA DE CALOR","2020-03-02","25"
"TIM42","MAQUINAS PARA FLUIDOS","2020-03-02","21"
"TIM50","INT. A LA CIENCIA DE LOS MATERIALES","2020-03-02","29"
"TIM52","COMPORTAMIENTO MEC. DE MATERIALES","2020-03-02","32"
"TIM54","METALURGIA DE TRANSFORMACION","2020-03-02","5"
"TIM56","CONTROL NUMERICO COMPUTARIZADO 1","2020-03-02","3"
"TIM61","CONTROL DE CALIDAD","2020-03-02","10"
"TIM71","MAQUINAS ELECTRICAS","2020-03-02","17"
"TIM72","INSTRUMENTACION Y CONTROL","2020-03-02","11"
"TIM81","INGLES TECNICO","2020-03-02","36"
"PA365","CONTROL DE RUIDO","2020-03-05","14"
"PA232","ENERGIA EOLICA","2020-03-09","33"
"PA524","INGENIERIA DE REQUISITOS","2020-03-09","15"
"PA575","SISTEMAS DE INFORMACION PARA EL ANALISIS DE GRANDES VOLUMENES DE DATOS","2020-03-09","2"
"PA582","ENFOQUE DE PULSOS PARA SOLUCION DE PROBLEMAS DE CAMINOS MAS CORTOS CON RESTRICCI","2020-03-09","2"
"PA455","INTRODUCCION A LA ESTADÍSTICA USANDO SOFTWARE","2020-03-10","7"
"PA561","VALORIZACION DE RESIDUOS DE INDUSTR. AGRIC. Y FORESTALES: HACIA UNA ECON. CIRCUL","2020-03-10","21"
"PC79","COMPUTACION DE ALTA PERFORMANCE","2020-03-10","2"
"PC93","SEGURIDAD DE SISTEMAS INFORMATICOS","2020-03-10","7"
"PA308","COMPUTACION DE PROPOSITO GENERAL EN UNIDADES DE PROCESAMIENTO GRAFICO","2020-03-16","1"
"PA63","ESTIMACION NUMERICA MONTE CARLO","2020-03-16","3"
"PA523","ANALISIS MULTIDIMENSIONAL DE GRANDES VOLUMENES DE DATOS","2020-03-24","15"
"AC14","ESTABILIZACION DE SUELOS","2020-03-27","9"
"PA562","ECONOMIA CIRCULAR","2020-03-30","23"
"PA555","CONFIABILIDAD ESTRUCTURAL DE COMPONENTES MECÁNICOS CON DAÑO","2020-04-02","2"
"PA439","TECNICAS DE APRENDIZAJE AUTOMATICO","2020-04-13","9"
"PA587","TEORIA DE JUEGOS EVOLUTIVOS","2020-04-13","3"
"PA573","ANALISIS SEMANTICO DE LENGUAJE NATURAL","2020-04-14","1"
"PE363","MARCO JURIDICO DE LA SEGURIDAD DE LA INFORMACION","2020-04-23","5"
"PA245","TALLER DE TESTING DE PERFORMANCE","2020-04-27","10"
"PA580","FUNDAMENTOS DEL RECURSO SOLAR","2020-05-04","23"
"2415","CODIGOS PARA CORRECCION DE ERRORES","2020-05-17","5"
"PA513","TECNOLOGIAS ACTUALES EN MOTORES DE COMBUSTION INTERNA","2020-05-19","1"
"PA522","ANALISIS DE DATOS INTERRELACIONADOS","2020-06-02","21"
"AC7","DISEÑO Y OPERAC. DE SIS. AN. PARA EL TRAT. DE EFL. Y RES. SOL. CON OB. DE BIOGAS","2020-06-06","17"
"PA225","SEGURIDAD POR DISEÑO Y CMMI","2020-06-08","7"
"PE243","COSTOS PARA INGENIERIA DE SOFTWARE","2020-06-08","8"
"1213","PLANIFICACION DE CLASES: DISEÑO DE UNID.DIDACT.","2020-06-10","1"
"PA530","ANALISIS EN SERIES TEMPORALES","2020-07-01","22"
"PA98","RELACIONES PERSONALES EN INGENIERIA DE SOFTWARE","2020-07-20","7"
"PA326","ELEMENTOS DE AERODINAMICA Y AEROELASTICIDAD DE ESTRUCTURAS","2020-07-28","2"
"1459","TALLER FOURIER","2020-08-03","36"
"2054","PROYECTO DE INGENIERIA MECANICA","2020-08-03","3"
"5604","TALLER LAB. ELECT. DE POTENCIA: RECT. E INVER.","2020-08-03","2"
"5904","TALLER DE INTRODUCCION A LA ING. ELECTRICA","2020-08-03","7"
"AC39","MAQUINAS ELECTRICAS","2020-08-03","1"
"PA033","SEMINARIO DE MERCADOS ELECTRICOS","2020-08-03","6"
"PA110","EFICIENCIA ENERGETICA","2020-08-03","24"
"PA246","TALLER DE PROYECTOS DE INVESTIGACION ACADEMICOS INNOVADORES (TPIAI)","2020-08-03","8"
"PA312","MULTIMEDIA SOBRE IP","2020-08-03","1"
"PA324","SIMULACION A EVENTOS DISCRETOS","2020-08-03","2"
"PA360","TALLER DE ENERGIA EOLICA","2020-08-03","13"
"PA395","ENSAYOS ELECTRICOS Y EQUIPAMIENTOS DE MEDIA TENSION","2020-08-03","5"
"PA396","ALGORITMOS EVOLUTIVOS","2020-08-03","3"
"PA402","TECNOLOGIA DE SERVICIOS AUDIOVISUALES","2020-08-03","1"
"PA44","CONTAMINACION ATMOSFERICA","2020-08-03","4"
"PA465","ALIMENTOS Y PROCESO SALUD- ENFERMEDAD","2020-08-03","2"
"PA526","MODELADO Y PROCESAMIENTO DE GRANDES VOLUMENES DE DATOS","2020-08-03","34"
"PA557","MODELADO DE SISTEMAS MECANICOS EMPLEANDO EL METODO DE LOS ELEMENTOS FINITOS","2020-08-03","1"
"PA570","INGENIERIA DE SOFTWARE EMPIRICA","2020-08-03","2"
"PA571","INTRODUCCION AL MIDDLEWARE","2020-08-03","2"
"PC108","INTRODUCCION AL PROCESAMIENTO DE LENGUAJE NATURAL","2020-08-03","11"
"PC109","ANALISIS DE DATOS EN REDES","2020-08-03","4"
"PE222","ARGUMENTACION Y RETORICA","2020-08-03","10"
