uc_1,uc_2,coincidencia
1152,5855,1.0
1152,5904,2.3333333333333335
1152,5916,1.0
1152,LIB49,1.0
1152,LIB55,1.0
1152,MI2,1.0
1152,Q21,1.0
1152,TIM10,1.0
1152,TIM11,1.0
1152,TIM12,1.0
1152,TIM13,1.0
1152,TIM14,1.0
1152,TIM50,1.0
1152,TIM81,1.0
1153,1023,9.0
1153,1025,126.2
1153,1026,3.0
1153,1027,3.75
1153,1030,5.0
1153,1031,28.4
1153,1038,4.0
1153,1057,1.0
1153,1066,7.8
1153,1122,108.0
1153,1154,112.8
1153,1209,2.0
1153,1215,1.6666666666666667
1153,1220,9.0
1153,1266,6.666666666666667
1153,1307,5.8
1153,1321,10.6
1153,1322,6.5
1153,1324,1.5
1153,1325,1.0
1153,1340,1.0
1153,1354,1.0
1153,1359,4.4
1153,1373,12.666666666666666
1153,1418,1.5
1153,1419,1.6666666666666667
1153,1421,1.5
1153,1450,1.0
1153,1464,3.0
1153,1465,3.0
1153,1508,11.0
1153,1513,4.6
1153,1522,5.25
1153,1524,1.0
1153,1527,4.0
1153,1537,1.3333333333333333
1153,1539,1.0
1153,1610,11.666666666666666
1153,1611,1.5
1153,1620,30.8
1153,1631,1.0
1153,1650,10.0
1153,1700,3.0
1153,1716,1.0
1153,1723,12.8
1153,1758,1.0
1153,1767,1.0
1153,1780,1.0
1153,1871,7.0
1153,1920,1.0
1153,1940,4.5
1153,1942,1.0
1153,1954,4.666666666666667
1153,2001,1.0
1153,2018,1.0
1153,2020,1.0
1153,2032,1.0
1153,2098,1.0
1153,2110,1.0
1153,2207,1.5
1153,2216,1.3333333333333333
1153,2217,1.0
1153,2247,1.0
1153,2355,3.0
1153,2371,1.0
1153,2381,2.0
1153,2382,1.0
1153,2405,1.0
1153,2411,1.0
1153,2412,1.5
1153,2414,5.0
1153,2419,1.0
1153,2504,1.0
1153,3334,1.0
1153,5828,1.0
1153,5855,2.0
1153,5904,3.5
1153,LIB49,2.0
1153,Q13,1.0
1153,Q16,1.3333333333333333
1153,Q21,7.4
1153,Q624,1.0
1153,Q68,1.0
1153,Q69,1.0
1153,Q71,1.5
1153,TCI21,1.0
1153,TIM10,1.0
1153,TIM11,1.0
1153,TIM12,1.0
1153,TIM13,1.0
1153,TIM14,1.0
1153,TIM22,1.0
1153,TIM50,1.0
1153,TIM81,1.0
1154,1023,4.0
1154,1025,108.4
1154,1027,1.0
1154,1030,2.6666666666666665
1154,1031,11.2
1154,1066,14.4
1154,1122,163.0
1154,1131,1.6666666666666667
1154,1209,1.0
1154,1215,2.0
1154,1220,7.0
1154,1266,8.0
1154,1307,8.0
1154,1321,3.6
1154,1322,5.0
1154,1324,2.0
1154,1325,1.0
1154,1359,1.0
1154,1373,9.666666666666666
1154,1450,1.0
1154,1456,1.0
1154,1457,1.5
1154,1508,15.4
1154,1513,6.8
1154,1537,1.0
1154,1539,1.0
1154,1610,14.666666666666666
1154,1620,39.8
1154,1650,15.5
1154,1700,1.0
1154,1716,1.0
1154,1722,1.0
1154,1723,18.8
1154,1724,1.0
1154,1824,2.0
1154,1856,1.6666666666666667
1154,1871,7.666666666666667
1154,1920,1.0
1154,1940,2.5
1154,1954,5.0
1154,2001,1.0
1154,2018,1.0
1154,2020,1.0
1154,2032,1.0
1154,2040,1.0
1154,2207,1.0
1154,2211,1.0
1154,2216,1.0
1154,2217,1.0
1154,2371,1.0
1154,2381,1.5
1154,2382,1.0
1154,2411,1.0
1154,2414,1.0
1154,2706,1.3333333333333333
1154,2707,1.0
1154,2804,1.0
1154,5005,1.0
1154,5508,1.0
1154,5904,1.6666666666666667
1154,Q21,15.2
1154,Q624,2.0
1154,Q68,1.5
1154,Q69,2.0
1154,Q71,2.0
1154,Q80,2.0
1154,Q81,2.0
1154,TIM10,1.0
1154,TIM11,1.0
1154,TIM13,1.0
1154,TIM41,1.0
1154,TIM42,1.0
1154,TIM71,1.0
1154,TIM72,1.0
1208,1209,1.0
1208,1321,1.0
1208,1373,1.0
1208,2032,1.0
1208,5855,2.0
1209,1025,1.0
1209,1307,1.0
1209,1321,1.0
1209,1373,1.0
1209,1556,2.0
1209,2032,1.0
1213,1325,1.0
1213,1537,2.0
1213,1730,1.0
1213,1758,1.0
1213,1767,1.0
1213,1775,1.0
1213,1780,1.0
1213,1938,1.0
1213,2398,1.0
1215,Q104,1.0
1215,Q196B,1.0
1215,Q21,3.75
1215,Q68,2.0
1215,Q71,1.3333333333333333
1220,1522,2.0
1220,1527,2.0
1220,1722,1.0
1220,1824,1.0
1220,2371,2.0
1220,5904,1.0
1235,1461,2.0
1235,1556,3.0
1235,1650,1.0
1235,5712,1.0
1235,Q16,2.0
1266,1824,1.5
1266,2216,1.0
1266,2217,1.0
1266,2371,2.0
1266,2505,2.0
1270,1023,1.0
1270,1025,2.0
1270,1027,5.0
1270,1151,3.0
1270,1321,2.0
1270,1324,2.0
1270,1325,1.0
1270,1353,1.0
1270,1610,2.0
1270,1767,1.0
1270,1774,1.0
1270,1876,1.0
1270,1942,1.0
1270,2040,1.0
1270,2216,2.0
1271,1025,2.0
1271,1031,1.0
1271,1151,5.0
1271,1316,1.0
1271,1324,1.0
1271,1325,1.0
1271,1340,8.0
1271,1353,1.0
1271,1354,7.0
1271,1434,3.0
1271,1537,4.0
1271,1631,2.0
1271,1650,1.0
1271,1716,1.0
1271,1730,7.0
1271,1731,1.0
1271,1758,6.0
1271,1767,6.0
1271,1775,1.0
1271,1776,1.0
1271,1781,1.0
1271,1828,5.0
1271,1848,1.0
1271,1871,11.0
1271,1876,1.0
1271,1942,14.0
1271,2216,1.0
1271,2217,1.0
1271,5828,1.0
1271,5916,3.0
1307,1456,8.0
1307,1457,27.0
1307,1537,1.0
1307,2001,1.0
1307,2013,1.5
1307,5508,1.25
1307,5514,1.0
1307,5603,1.0
1307,5705,2.0
1307,5720,3.0
1307,5828,1.0
1307,5855,1.0
1307,LIB49,1.0
1316,1025,1.0
1316,1026,1.0
1316,1027,2.6666666666666665
1316,1057,1.0
1316,1325,7.75
1316,1340,10.5
1316,1354,10.5
1316,1450,1.6666666666666667
1316,1537,9.2
1316,1610,6.0
1316,1632,1.0
1316,1650,5.5
1316,1716,10.2
1316,1730,3.6666666666666665
1316,1731,4.0
1316,1749,2.5
1316,1758,2.0
1316,1767,2.5
1316,1774,3.0
1316,1775,2.75
1316,1776,1.5
1316,1778,1.0
1316,1780,1.5
1316,1781,3.0
1316,1828,3.0
1316,1848,2.0
1316,1898,4.0
1316,1938,3.0
1316,1952,2.0
1316,2002,1.0
1316,5828,1.5
1321,1266,1.0
1321,1307,2.6
1321,1324,1.0
1321,1325,1.0
1321,1456,4.0
1321,1457,5.25
1321,1465,1.0
1321,1537,1.0
1321,1556,1.0
1321,1780,3.0
1321,1824,1.0
1321,1888,12.0
1321,2013,1.0
1321,2099,1.0
1321,2216,1.5
1321,2217,1.0
1321,2411,1.0
1321,5508,1.0
1321,5828,2.0
1321,5853,1.0
1321,5855,2.6
1321,5866,1.0
1321,5904,1.5
1321,5906,1.0
1321,LIB49,1.5
1321,LIB55,2.5
1321,Q68,1.0
1321,Q71,1.0
1322,1220,1.0
1322,1457,4.0
1322,1722,1.0
1322,5904,2.5
1322,PA439,1.0
1324,1266,1.0
1324,1325,88.4
1324,1340,2.0
1324,1354,1.5
1324,1457,2.6666666666666665
1324,1537,86.6
1324,1556,3.0
1324,1780,3.0
1324,1886,2.0
1324,1888,6.0
1324,1952,1.0
1324,2013,3.0
1324,5705,1.0
1324,5720,1.3333333333333333
1324,5828,4.0
1324,5855,1.0
1324,PA243,1.0
1324,TI11,1.0
1324,TI12,1.0
1325,1886,3.0
1325,2216,1.5
1325,2217,2.0
1325,5828,1.0
1325,PA243,1.0
1340,1537,17.25
1340,1730,1.5
1340,1758,3.5
1340,1766,2.0
1340,1774,5.5
1340,1775,4.0
1340,1776,1.0
1340,1780,3.0
1340,1781,4.0
1340,1848,1.0
1340,1876,4.0
1340,1886,1.0
1340,1898,12.0
1340,1937,1.0
1340,1938,8.0
1340,1952,2.0
1340,2398,1.0
1340,5705,1.0
1340,5720,1.0
1340,5828,1.5
1347,1151,1.0
1347,1316,2.0
1347,1340,1.0
1347,1353,2.0
1347,1537,3.0
1347,1716,1.0
1347,1731,1.0
1347,1758,1.0
1347,1766,1.0
1347,1767,2.0
1347,1774,2.0
